"light_bias","v_mean","Y","p_bite","r_scale","N1","N2","N3","N4","total"
0.5,1.6,1,0.35,0.35,0,6,36,10,52
0.75,1.6,1,0.35,0.35,0,4,19,12,35
1,1.6,1,0.35,0.35,0,0,0,0,0
0,0.8,2,0.35,0.35,0,2,44,16,62
0.25,0.8,2,0.35,0.35,0,0,34,10,44
0.5,0.8,2,0.35,0.35,0,4,42,5,51
0.75,0.8,2,0.35,0.35,0,5,32,14,51
1,0.8,2,0.35,0.35,0,0,1159,0,1159
0,1.2,2,0.35,0.35,2,1,36,8,47
0.25,1.2,2,0.35,0.35,0,0,42,5,47
0.5,1.2,2,0.35,0.35,0,2,46,3,51
0.75,1.2,2,0.35,0.35,0,1,28,8,37
1,1.2,2,0.35,0.35,0,0,3619,0,3619
0,1.6,2,0.35,0.35,1,2,21,9,33
0.25,1.6,2,0.35,0.35,0,0,36,9,45
0.5,1.6,2,0.35,0.35,0,1,31,10,42
0.75,1.6,2,0.35,0.35,0,6,29,17,52
1,1.6,2,0.35,0.35,0,0,0,0,0
0,0.8,3,0.35,0.35,0,3,73,10,86
0.25,0.8,3,0.35,0.35,0,2,58,11,71
0.5,0.8,3,0.35,0.35,0,6,40,4,50
0.75,0.8,3,0.35,0.35,0,1,72,21,94
1,0.8,3,0.35,0.35,0,0,0,0,0
0,1.2,3,0.35,0.35,1,1,37,15,54
0.25,1.2,3,0.35,0.35,1,0,53,6,60
0.5,1.2,3,0.35,0.35,0,3,27,10,40
0.75,1.2,3,0.35,0.35,0,4,31,12,47
1,1.2,3,0.35,0.35,0,0,0,60,60
0,1.6,3,0.35,0.35,0,3,30,10,43
0.25,1.6,3,0.35,0.35,1,5,23,12,41
0.5,1.6,3,0.35,0.35,0,2,27,12,41
0.75,1.6,3,0.35,0.35,0,2,37,7,46
1,1.6,3,0.35,0.35,0,0,0,0,0
0,0.8,0,0.5,0.35,0,1,26,11,38
0.25,0.8,0,0.5,0.35,0,1,31,13,45
0.5,0.8,0,0.5,0.35,0,4,25,11,40
0.75,0.8,0,0.5,0.35,0,2,45,12,59
1,0.8,0,0.5,0.35,0,0,0,0,0
0,1.2,0,0.5,0.35,1,0,35,9,45
0.25,1.2,0,0.5,0.35,0,3,39,14,56
0.5,1.2,0,0.5,0.35,0,3,28,13,44
0.75,1.2,0,0.5,0.35,0,8,33,15,56
1,1.2,0,0.5,0.35,0,0,0,0,0
0,1.6,0,0.5,0.35,3,2,36,10,51
0.25,1.6,0,0.5,0.35,0,2,32,13,47
0.5,1.6,0,0.5,0.35,0,3,43,15,61
0.75,1.6,0,0.5,0.35,0,6,23,18,47
1,1.6,0,0.5,0.35,0,0,20,0,20
0,0.8,1,0.5,0.35,0,2,48,16,66
0.25,0.8,1,0.5,0.35,0,4,43,13,60
0.5,0.8,1,0.5,0.35,0,5,61,9,75
0.75,0.8,1,0.5,0.35,0,3,44,11,58
1,0.8,1,0.5,0.35,0,0,63,0,63
0,1.2,1,0.5,0.35,1,4,42,14,61
0.25,1.2,1,0.5,0.35,0,2,40,9,51
0.5,1.2,1,0.5,0.35,0,3,37,23,63
0.75,1.2,1,0.5,0.35,0,1,35,10,46
1,1.2,1,0.5,0.35,0,0,0,0,0
0,1.6,1,0.5,0.35,1,2,37,13,53
0.25,1.6,1,0.5,0.35,0,5,31,6,42
0.5,1.6,1,0.5,0.35,0,0,42,11,53
0.75,1.6,1,0.5,0.35,0,7,41,15,63
1,1.6,1,0.5,0.35,0,0,0,23,23
0,0.8,2,0.5,0.35,0,1,74,5,80
0.25,0.8,2,0.5,0.35,0,3,53,28,84
0.5,0.8,2,0.5,0.35,0,1,50,14,65
0.75,0.8,2,0.5,0.35,0,4,79,14,97
1,0.8,2,0.5,0.35,0,0,2647,0,2647
0,1.2,2,0.5,0.35,5,4,42,12,63
0.25,1.2,2,0.5,0.35,0,3,42,11,56
0.5,1.2,2,0.5,0.35,0,3,68,21,92
0.75,1.2,2,0.5,0.35,0,3,50,10,63
1,1.2,2,0.5,0.35,0,0,0,0,0
0,1.6,2,0.5,0.35,1,6,46,14,67
0.25,1.6,2,0.5,0.35,1,5,42,19,67
0.5,1.6,2,0.5,0.35,0,4,40,8,52
0.75,1.6,2,0.5,0.35,0,9,31,17,57
1,1.6,2,0.5,0.35,0,0,827,0,827
0,0.8,3,0.5,0.35,0,4,254,21,279
0.25,0.8,3,0.5,0.35,0,1,95,10,106
0.5,0.8,3,0.5,0.35,0,0,259,30,289
0.75,0.8,3,0.5,0.35,0,16,159,27,202
1,0.8,3,0.5,0.35,0,0,0,0,0
0,1.2,3,0.5,0.35,0,1,61,12,74
0.25,1.2,3,0.5,0.35,0,5,52,25,82
0.5,1.2,3,0.5,0.35,0,2,45,16,63
0.75,1.2,3,0.5,0.35,0,3,60,17,80
1,1.2,3,0.5,0.35,0,0,0,0,0
0,1.6,3,0.5,0.35,3,6,50,13,72
0.25,1.6,3,0.5,0.35,2,3,49,15,69
0.5,1.6,3,0.5,0.35,0,6,55,11,72
0.75,1.6,3,0.5,0.35,0,0,40,8,48
1,1.6,3,0.5,0.35,0,0,7780,0,7780
0,0.8,0,0.2,0.45,0,1,18,13,32
0.25,0.8,0,0.2,0.45,0,0,20,7,27
0.5,0.8,0,0.2,0.45,0,2,18,11,31
0.75,0.8,0,0.2,0.45,0,0,18,8,26
1,0.8,0,0.2,0.45,0,0,34,0,34
0,1.2,0,0.2,0.45,1,1,28,5,35
0.25,1.2,0,0.2,0.45,0,1,23,7,31
0.5,1.2,0,0.2,0.45,0,6,22,13,41
0.75,1.2,0,0.2,0.45,0,3,24,8,35
1,1.2,0,0.2,0.45,0,0,33,0,33
0,1.6,0,0.2,0.45,1,0,17,10,28
0.25,1.6,0,0.2,0.45,1,3,31,15,50
0.5,1.6,0,0.2,0.45,0,2,13,4,19
0.75,1.6,0,0.2,0.45,0,4,23,11,38
1,1.6,0,0.2,0.45,0,0,35,0,35
0,0.8,1,0.2,0.45,0,1,28,9,38
0.25,0.8,1,0.2,0.45,0,0,17,14,31
0.5,0.8,1,0.2,0.45,0,3,32,9,44
